co_categoria_subcategoria,co_agrupamento,co_categoria_pai,no_categoria_subcategoria,st_cruz,st_asterisco,co_categ_subcateg_sp,st_registro_ativo,dt_inclusao,dt_atualizacao
P61.8,173,P61,Outros transtornos hematologicos perinatais especificados,-,-,P618,S,-,-
P61.9,173,P61,Transtorno hematologico perinatal nao especificado,-,-,P619,S,-,-
P70,174,P70,Transtornos transitorios do metabolismo dos carboidratos especificos do feto e do recem-nascido,-,-,P70,S,-,-
P70.0,174,P70,Sindrome do filho de mae com diabetes gestacional,-,-,P700,S,-,-
P70.1,174,P70,Sindrome do filho de mae diabetica,-,-,P701,S,-,-
P70.2,174,P70,Diabetes mellitus neonatal,-,-,P702,S,-,-
P70.3,174,P70,Hipoglicemia neonatal iatrogenica,-,-,P703,S,-,-
P70.4,174,P70,Outras hipoglicemias neonatais,-,-,P704,S,-,-
P70.8,174,P70,Outros transtornos transitorios do metabolismo dos carboidratos do feto e do recem-nascido,-,-,P708,S,-,-
P70.9,174,P70,Transtorno transitorio nao especificado do metabolismo dos carboidratos do feto e do recem-nascido,-,-,P709,S,-,-
P71,174,P71,Transtornos transitorios do metabolismo do calcio e do magnesio do periodo neonatal,-,-,P71,S,-,-
P71.0,174,P71,Hipocalcemia do recem-nascido pelo uso de leite de vaca,-,-,P710,S,-,-
P71.1,174,P71,Outras hipocalcemias neonatais,-,-,P711,S,-,-
P71.2,174,P71,Hipomagnesemia neonatal,-,-,P712,S,-,-
P71.3,174,P71,Tetania neonatal sem deficiencia de calcio ou magnesio,-,-,P713,S,-,-
P71.4,174,P71,Hipoparatiroidismo neonatal transitorio,-,-,P714,S,-,-
P71.8,174,P71,Outros transtornos transitorios do metabolismo do calcio e do magnesio do periodo neonatal,-,-,P718,S,-,-
P71.9,174,P71,Transtornos transitorios nao especificados do metabolismo do calcio e do magnesio do periodo neonatal,-,-,P719,S,-,-
P72,174,P72,Outros transtornos endocrinos transitorios do periodo neonatal,-,-,P72,S,-,-
P72.0,174,P72,"Bocio neonatal, nao classificado em outra parte",-,-,P720,S,-,-
P72.1,174,P72,Hipotireoidismo neonatal transitorio,-,-,P721,S,-,-
P72.2,174,P72,Outros transtornos transitorios da funcao de tireoide nao classificados em outra parte,-,-,P722,S,-,-
P72.8,174,P72,Outros transtornos endocrinos transitorios e especificados do periodo neonatal,-,-,P728,S,-,-
P72.9,174,P72,Transtorno endocrino neonatal transitorio nao especificado,-,-,P729,S,-,-
P74,174,P74,Outros disturbios eletroliticos e metabolicos transitorios do periodo neonatal,-,-,P74,S,-,-
P74.0,174,P74,Acidose metabolica tardia do recem-nascido,-,-,P740,S,-,-
P74.1,174,P74,Desidratacao do recem-nascido,-,-,P741,S,-,-
P74.2,174,P74,Disturbios do equilibrio de sodio do recem-nascido,-,-,P742,S,-,-
P74.3,174,P74,Disturbios do equilibrio de potassio do recem-nascido,-,-,P743,S,-,-
P74.4,174,P74,Outros disturbios eletroliticos transitorios do recem-nascido,-,-,P744,S,-,-
P74.5,174,P74,Tirosinemia transitoria do recem-nascido,-,-,P745,S,-,-
P74.8,174,P74,Outros disturbios metabolicos transitorios do recem-nascido,-,-,P748,S,-,-
P74.9,174,P74,Disturbio metabolico transitorio nao especificado do recem-nascido,-,-,P749,S,-,-
P75,175,P75,ileo meconial na fibrose cistica (E84.1+),-,*,P75,S,-,-
P76,175,P76,Outras obstrucoes intestinais do recem-nascido,-,-,P76,S,-,-
P76.0,175,P76,"Sindrome da ""rolha de meconio""",-,-,P760,S,-,-
P76.1,175,P76,Ileo transitorio do recem-nascido,-,-,P761,S,-,-
P76.2,175,P76,Obstrucao intestinal devido a leite espesso,-,-,P762,S,-,-
P76.8,175,P76,Outras obstrucoes intestinais especificadas do recem-nascido,-,-,P768,S,-,-
P76.9,175,P76,Obstrucao intestinal nao especificada do recem-nascido,-,-,P769,S,-,-
P77,175,P77,Enterocolite necrotizante do feto e do recem-nascido,-,-,P77,S,-,-
P78,175,P78,Outros transtornos do aparelho digestivo do periodo perinatal,-,-,P78,S,-,-
P78.0,175,P78,Perfuracao intestinal no periodo perinatal,-,-,P780,S,-,-
P78.1,175,P78,Outras peritonites neonatais,-,-,P781,S,-,-
P78.2,175,P78,Hematemese e melena devidas a degluticao de sangue materno,-,-,P782,S,-,-
P78.3,175,P78,Diarreia neonatal nao-infecciosa,-,-,P783,S,-,-
P78.8,175,P78,Outros transtornos perinatais especificados do aparelho digestivo,-,-,P788,S,-,-
P78.9,175,P78,Transtorno perinatal nao especificado do aparelho digestivo,-,-,P789,S,-,-
P80,176,P80,Hipotermia do recem-nascido,-,-,P80,S,-,-
P80.0,176,P80,Sindrome de lesao pelo frio,-,-,P800,S,-,-
P80.8,176,P80,Outras hipotermias do recem-nascido,-,-,P808,S,-,-
P80.9,176,P80,Hipotermia nao especificada do recem-nascido,-,-,P809,S,-,-
P81,176,P81,Outros disturbios da regulacao termica do recem-nascido,-,-,P81,S,-,-
P81.0,176,P81,Hipertermia ambiental do recem-nascido,-,-,P810,S,-,-
P81.8,176,P81,Outros disturbios especificados da regulacao termica do recem-nascido,-,-,P818,S,-,-
P81.9,176,P81,Disturbio nao especificado da regulacao termica do recem-nascido,-,-,P819,S,-,-
P83,176,P83,Outras afeccoes comprometendo o tegumento especificas do feto e do recem-nascido,-,-,P83,S,-,-
P83.0,176,P83,Esclerema neonatal,-,-,P830,S,-,-
P83.1,176,P83,Eritema toxico neonatal,-,-,P831,S,-,-
P83.2,176,P83,Hidropsia fetal nao-devida a doenca hemolitica,-,-,P832,S,-,-
P83.3,176,P83,Outros edemas e os nao especificados proprios do feto e do recem-nascido,-,-,P833,S,-,-
P83.4,176,P83,Intumescimento mamario do recem-nascido,-,-,P834,S,-,-
P83.5,176,P83,Hidrocele congenita,-,-,P835,S,-,-
P83.6,176,P83,Polipo umbilical do recem-nascido,-,-,P836,S,-,-
P83.8,176,P83,Outras afeccoes especificadas do tegumento proprias do feto e do recem-nascido,-,-,P838,S,-,-
P83.9,176,P83,Afeccao nao especificada do tegumento propria do feto e do recem-nascido,-,-,P839,S,-,-
P90,177,P90,Convulsoes do recem-nascido,-,-,P90,S,-,-
P91,177,P91,Outros disturbios da funcao cerebral do recem-nascido,-,-,P91,S,-,-
P91.0,177,P91,Isquemia cerebral neonatal,-,-,P910,S,-,-
P91.1,177,P91,Cistos periventriculares adquiridos do recem-nascido,-,-,P911,S,-,-
P91.2,177,P91,Leucomalacia cerebral neonatal,-,-,P912,S,-,-
P91.3,177,P91,Irritabilidade cerebral neonatal,-,-,P913,S,-,-
P91.4,177,P91,Depressao cerebral neonatal,-,-,P914,S,-,-
P91.5,177,P91,Coma neonatal,-,-,P915,S,-,-
P91.6,177,P91,Encefalopatia hip髕ico-isqu阭ica do rec閙-nascido,-,-,P916,S,-,-
P91.7,177,P91,Hidrocefalia adquirida do recem-nascido,-,-,P917,S,-,-
P91.8,177,P91,Outros disturbios especificados da funcao cerebral do recem-nascido,-,-,P918,S,-,-
P91.9,177,P91,Disturbio nao especificado da funcao cerebral do recem-nascido,-,-,P919,S,-,-
P92,177,P92,Problemas de alimentacao do recem-nascido,-,-,P92,S,-,-
P92.0,177,P92,Vomitos no recem-nascido,-,-,P920,S,-,-
P92.1,177,P92,Regurgitacao e ruminacao no recem-nascido,-,-,P921,S,-,-
P92.2,177,P92,Alimentacao vagarosa do recem-nascido,-,-,P922,S,-,-
P92.3,177,P92,Subalimentacao do recem-nascido,-,-,P923,S,-,-
P92.4,177,P92,Hiperalimentacao do recem-nascido,-,-,P924,S,-,-
P92.5,177,P92,Dificuldade neonatal na amamentacao no peito,-,-,P925,S,-,-
P92.8,177,P92,Outros problemas de alimentacao do recem-nascido,-,-,P928,S,-,-
P92.9,177,P92,Problema nao especificado de alimentacao do recem-nascido,-,-,P929,S,-,-
P93,177,P93,Reacoes e intoxicacoes devidas a drogas administradas ao feto e ao recem-nascido,-,-,P93,S,-,-
P94,177,P94,Transtornos do tonus muscular do recem-nascido,-,-,P94,S,-,-
P94.0,177,P94,Miastenia grave neonatal transitoria,-,-,P940,S,-,-
P94.1,177,P94,Hipertonia congenita,-,-,P941,S,-,-
P94.2,177,P94,Hipotonia congenita,-,-,P942,S,-,-
P94.8,177,P94,Outros transtornos do tonus muscular do recem-nascido,-,-,P948,S,-,-
P94.9,177,P94,Transtorno nao especificado do tonus muscular do recem-nascido,-,-,P949,S,-,-
P95,177,P95,Morte fetal de causa nao especificada,-,-,P95,S,-,-
P96,177,P96,Outras afeccoes originadas no periodo perinatal,-,-,P96,S,-,-
P96.0,177,P96,Insuficiencia renal congenita,-,-,P960,S,-,-
P96.1,177,P96,Sintomas de abstinencia neonatal de drogas utilizadas pela mae,-,-,P961,S,-,-
P96.2,177,P96,Sintomas de abstinencia do uso de drogas terapeuticas no recem-nascido,-,-,P962,S,-,-
P96.3,177,P96,Suturas cranianas amplas no recem-nascido,-,-,P963,S,-,-
P96.4,177,P96,"Interrupcao de gravidez, afetando o feto e recem-nascido",-,-,P964,S,-,-
P96.5,177,P96,Complicacoes de procedimentos intra-uterinos nao classificados em outra parte,-,-,P965,S,-,-
P96.8,177,P96,Outras afeccoes especificadas originadas no periodo perinatal,-,-,P968,S,-,-
P96.9,177,P96,Afeccoes originadas no periodo perinatal nao especificadas,-,-,P969,S,-,-
Q00,178,Q00,Anencefalia e malformacoes similares,-,-,Q00,S,-,-
Q00.0,178,Q00,Anencefalia,-,-,Q000,S,-,-
Q00.1,178,Q00,Craniorraquisquise,-,-,Q001,S,-,-
Q00.2,178,Q00,Iniencefalia,-,-,Q002,S,-,-
Q01,178,Q01,Encefalocele,-,-,Q01,S,-,-
Q01.0,178,Q01,Encefalocele frontal,-,-,Q010,S,-,-
Q01.1,178,Q01,Encefalocele nasofrontal,-,-,Q011,S,-,-
Q01.2,178,Q01,Encefalocele occipital,-,-,Q012,S,-,-
Q01.8,178,Q01,Encefalocele de outras localizacoes,-,-,Q018,S,-,-
Q01.9,178,Q01,Encefalocele nao especificada,-,-,Q019,S,-,-
Q02,178,Q02,Microcefalia,-,-,Q02,S,-,-
Q03,178,Q03,Hidrocefalia congenita,-,-,Q03,S,-,-
Q03.0,178,Q03,Malformacoes do aqueduto de Sylvius,-,-,Q030,S,-,-
Q03.1,178,Q03,Atresia das fendas de Luschka e do foramen de Magendie,-,-,Q031,S,-,-
Q03.8,178,Q03,Outra hidrocefalia congenita,-,-,Q038,S,-,-
Q03.9,178,Q03,Hidrocefalia congenita nao especificada,-,-,Q039,S,-,-
Q04,178,Q04,Outras malformacoes congenitas do cerebro,-,-,Q04,S,-,-
Q04.0,178,Q04,Malformacoes congenitas do corpo caloso,-,-,Q040,S,-,-
Q04.1,178,Q04,Arrinencefalia,-,-,Q041,S,-,-
Q04.2,178,Q04,Holoprosencefalia,-,-,Q042,S,-,-
Q04.3,178,Q04,Outras deformidades por reducao do encefalo,-,-,Q043,S,-,-
Q04.4,178,Q04,Displasia do septo e das vias opticas,-,-,Q044,S,-,-
Q04.5,178,Q04,Megalencefalia,-,-,Q045,S,-,-
Q04.6,178,Q04,Cistos cerebrais congenitos,-,-,Q046,S,-,-
Q04.8,178,Q04,Outras malformacoes congenitas especificadas do encefalo,-,-,Q048,S,-,-
Q04.9,178,Q04,Malformacao congenita nao especificada do encefalo,-,-,Q049,S,-,-
Q05,178,Q05,Espinha bifida,-,-,Q05,S,-,-
Q05.0,178,Q05,Espinha bifida cervical com hidrocefalia,-,-,Q050,S,-,-
Q05.1,178,Q05,Espinha bifida toracica com hidrocefalia,-,-,Q051,S,-,-
Q05.2,178,Q05,Espinha bifida lombar com hidrocefalia,-,-,Q052,S,-,-
Q05.3,178,Q05,Espinha bifida sacra com hidrocefalia,-,-,Q053,S,-,-
Q05.4,178,Q05,"Espinha bifida nao especificada, com hidrocefalia",-,-,Q054,S,-,-
Q05.5,178,Q05,"Espinha bifida cervical, sem hidrocefalia",-,-,Q055,S,-,-
Q05.6,178,Q05,"Espinha bifida toracica, sem hidrocefalia",-,-,Q056,S,-,-
Q05.7,178,Q05,"Espinha bifida lombar, sem hidrocefalia",-,-,Q057,S,-,-
Q05.8,178,Q05,"Espinha bifida sacra, sem hidrocefalia",-,-,Q058,S,-,-
Q05.9,178,Q05,Espinha bifida nao especificada,-,-,Q059,S,-,-
Q06,178,Q06,Outras malformacoes congenitas da medula espinhal,-,-,Q06,S,-,-
Q06.0,178,Q06,Amielia,-,-,Q060,S,-,-
Q06.1,178,Q06,Hipoplasia e displasia da medula espinal,-,-,Q061,S,-,-
Q06.2,178,Q06,Diastematomielia,-,-,Q062,S,-,-
Q06.3,178,Q06,Outras malformacoes congenitas da cauda equina,-,-,Q063,S,-,-
Q06.4,178,Q06,Hidromielia,-,-,Q064,S,-,-
Q06.8,178,Q06,Outras malformacoes congenitas especificadas da medula espinal,-,-,Q068,S,-,-
Q06.9,178,Q06,Malformacao congenita nao especificada da medula espinal,-,-,Q069,S,-,-
Q07,178,Q07,Outras malformacoes congenitas do sistema nervoso,-,-,Q07,S,-,-
Q07.0,178,Q07,Sindrome de Arnold-Chiari,-,-,Q070,S,-,-
Q07.8,178,Q07,Outras malformacoes congenitas especificadas do sistema nervoso,-,-,Q078,S,-,-
Q07.9,178,Q07,Malformacao congenita nao especificada do sistema nervoso,-,-,Q079,S,-,-
Q10,179,Q10,"Malformacoes congenitas das palpebras, do aparelho lacrimal e da orbita",-,-,Q10,S,-,-
Q10.0,179,Q10,Ptose congenita,-,-,Q100,S,-,-
Q10.1,179,Q10,Ectropio congenito,-,-,Q101,S,-,-
Q10.2,179,Q10,Entropio congenito,-,-,Q102,S,-,-
Q10.3,179,Q10,Outras malformacoes congenitas das palpebras,-,-,Q103,S,-,-
Q10.4,179,Q10,Ausencia ou agenesia do aparelho lacrimal,-,-,Q104,S,-,-
Q10.5,179,Q10,Estenose ou estreitamento congenito do canal lacrimal,-,-,Q105,S,-,-
Q10.6,179,Q10,Outras malformacoes congenitas do aparelho lacrimal,-,-,Q106,S,-,-
Q10.7,179,Q10,Malformacao congenita da orbita,-,-,Q107,S,-,-
Q11,179,Q11,"Anoftalmia, microftalmia e macroftalmia",-,-,Q11,S,-,-
Q11.0,179,Q11,Olho cistico,-,-,Q110,S,-,-
Q11.1,179,Q11,Outras formas de anoftalmia,-,-,Q111,S,-,-
Q11.2,179,Q11,Microftalmia,-,-,Q112,S,-,-
Q11.3,179,Q11,Macroftalmia,-,-,Q113,S,-,-
Q12,179,Q12,Malformacoes congenitas do cristalino,-,-,Q12,S,-,-
Q12.0,179,Q12,Catarata congenita,-,-,Q120,S,-,-
Q12.1,179,Q12,Luxacao congenita do cristalino,-,-,Q121,S,-,-
Q12.2,179,Q12,Coloboma do cristalino,-,-,Q122,S,-,-
Q12.3,179,Q12,Afaquia congenita,-,-,Q123,S,-,-
Q12.4,179,Q12,Esferofaquia,-,-,Q124,S,-,-
Q12.8,179,Q12,Outras malformacoes congenitas do cristalino,-,-,Q128,S,-,-
Q12.9,179,Q12,Malformacao congenita nao especificada do cristalino,-,-,Q129,S,-,-
Q13,179,Q13,Malformacoes congenitas da camara anterior do olho,-,-,Q13,S,-,-
Q13.0,179,Q13,Coloboma da iris,-,-,Q130,S,-,-
Q13.1,179,Q13,Ausencia de iris,-,-,Q131,S,-,-
Q13.2,179,Q13,Outras malformacoes congenitas da iris,-,-,Q132,S,-,-
Q13.3,179,Q13,Opacidade congenita da cornea,-,-,Q133,S,-,-
Q13.4,179,Q13,Outras malformacoes congenitas da cornea,-,-,Q134,S,-,-
Q13.5,179,Q13,Esclerotica azul,-,-,Q135,S,-,-
Q13.8,179,Q13,Outras malformacoes congenitas da camara anterior do olho,-,-,Q138,S,-,-
Q13.9,179,Q13,Malformacao congenita nao especificada da camara anterior do olho,-,-,Q139,S,-,-
Q14,179,Q14,Malformacoes congenitas da camara posterior do olho,-,-,Q14,S,-,-
Q14.0,179,Q14,Malformacao congenita do humor vitreo,-,-,Q140,S,-,-
Q14.1,179,Q14,Malformacao congenita da retina,-,-,Q141,S,-,-
Q14.2,179,Q14,Malformacao congenita do disco optico,-,-,Q142,S,-,-
Q14.3,179,Q14,Malformacao congenita da coroide,-,-,Q143,S,-,-
Q14.8,179,Q14,Outras malformacoes congenitas da camara posterior do olho,-,-,Q148,S,-,-
Q14.9,179,Q14,Malformacao congenita nao especificada da camara posterior do olho,-,-,Q149,S,-,-
Q15,179,Q15,Outras malformacoes congenitas do olho,-,-,Q15,S,-,-
Q15.0,179,Q15,Glaucoma congenito,-,-,Q150,S,-,-
Q15.8,179,Q15,Outras malformacoes congenitas especificadas do olho,-,-,Q158,S,-,-
Q15.9,179,Q15,Malformacao congenita nao especificada do olho,-,-,Q159,S,-,-
Q16,179,Q16,Malformacoes congenitas do ouvido causando comprometimento da audicao,-,-,Q16,S,-,-
Q16.0,179,Q16,Ausencia congenita do pavilhao auricular [orelha],-,-,Q160,S,-,-
Q16.1,179,Q16,"Ausencia, atresia e estreitamento congenitos do conduto auditivo (externo)",-,-,Q161,S,-,-
Q16.2,179,Q16,Ausencia da trompa de Eustaquio,-,-,Q162,S,-,-
Q16.3,179,Q16,Malformacao congenita dos ossiculos do ouvido,-,-,Q163,S,-,-
Q16.4,179,Q16,Outras malformacoes congenitas do ouvido medio,-,-,Q164,S,-,-
Q16.5,179,Q16,Malformacao congenita do ouvido interno,-,-,Q165,S,-,-
Q16.9,179,Q16,Malformacao congenita do ouvido nao especificada causando comprometimento da audicao,-,-,Q169,S,-,-
Q17,179,Q17,Outras malformacoes congenitas da orelha,-,-,Q17,S,-,-
Q17.0,179,Q17,Pavilhao supranumerario,-,-,Q170,S,-,-
Q17.1,179,Q17,Macrotia,-,-,Q171,S,-,-
Q17.2,179,Q17,Microtia,-,-,Q172,S,-,-
Q17.3,179,Q17,Outras deformidades da orelha,-,-,Q173,S,-,-
Q17.4,179,Q17,Anomalia de posicao da orelha,-,-,Q174,S,-,-
Q17.5,179,Q17,Orelhas proeminentes,-,-,Q175,S,-,-
Q17.8,179,Q17,Outras malformacoes congenitas especificadas da orelha,-,-,Q178,S,-,-
Q17.9,179,Q17,Malformacao congenita nao especificada da orelha,-,-,Q179,S,-,-
Q18,179,Q18,Outras malformacoes congenitas da face e do pescoco,-,-,Q18,S,-,-
Q18.0,179,Q18,"Seio, fistula e cisto de origem branquial",-,-,Q180,S,-,-
Q18.1,179,Q18,"Seio, fistula e cisto pre-auricular",-,-,Q181,S,-,-
Q18.2,179,Q18,Outras malformacoes da fenda branquial,-,-,Q182,S,-,-
Q18.3,179,Q18,Pescoco alado,-,-,Q183,S,-,-
Q18.4,179,Q18,Macrostomia,-,-,Q184,S,-,-
Q18.5,179,Q18,Microstomia,-,-,Q185,S,-,-
Q18.6,179,Q18,Macroqueilia,-,-,Q186,S,-,-
Q18.7,179,Q18,Microqueilia,-,-,Q187,S,-,-
Q18.8,179,Q18,Outras malformacoes congenitas especificadas da face e do pescoco,-,-,Q188,S,-,-
Q18.9,179,Q18,Malformacao congenita nao especificada da face e do pescoco,-,-,Q189,S,-,-
Q20,180,Q20,Malformacoes congenitas das camaras e das comunicacoes cardiacas,-,-,Q20,S,-,-
Q20.0,180,Q20,Tronco arterial comum,-,-,Q200,S,-,-
Q20.1,180,Q20,Ventriculo direito com dupla via de saida,-,-,Q201,S,-,-
Q20.2,180,Q20,Ventriculo esquerdo com dupla via de saida,-,-,Q202,S,-,-
Q20.3,180,Q20,Comunicacao ventriculo-atrial discordante,-,-,Q203,S,-,-
Q20.4,180,Q20,Ventriculo com dupla via de entrada,-,-,Q204,S,-,-
Q20.5,180,Q20,Comunicacao atrio-ventricular discordante,-,-,Q205,S,-,-
Q20.6,180,Q20,Isomerismo dos apendices atriais,-,-,Q206,S,-,-
Q20.8,180,Q20,Outras malformacoes congenitas das camaras e das comunicacoes cardiacas,-,-,Q208,S,-,-
Q20.9,180,Q20,Malformacao congenita nao especificada das camaras e das comunicacoes cardiacas,-,-,Q209,S,-,-
Q21,180,Q21,Malformacoes congenitas dos septos cardiacos,-,-,Q21,S,-,-
Q21.0,180,Q21,Comunicacao interventricular,-,-,Q210,S,-,-
Q21.1,180,Q21,Comunicacao interatrial,-,-,Q211,S,-,-
Q21.2,180,Q21,Comunicacao atrioventricular,-,-,Q212,S,-,-
Q21.3,180,Q21,Tetralogia de Fallot,-,-,Q213,S,-,-
Q21.4,180,Q21,Comunicacao aortopulmonar,-,-,Q214,S,-,-
Q21.8,180,Q21,Outras malformacoes congenitas dos septos cardiacos,-,-,Q218,S,-,-
Q21.9,180,Q21,Malformacao congenita nao especificada de septo cardiaco,-,-,Q219,S,-,-
Q22,180,Q22,Malformacoes congenitas das valvas pulmonar e tricuspide,-,-,Q22,S,-,-
Q22.0,180,Q22,Atresia da valva pulmonar,-,-,Q220,S,-,-
Q22.1,180,Q22,Estenose congenita da valva pulmonar,-,-,Q221,S,-,-
Q22.2,180,Q22,Insuficiencia congenita da valva pulmonar,-,-,Q222,S,-,-
Q22.3,180,Q22,Outras malformacoes congenitas da valva pulmonar,-,-,Q223,S,-,-
Q22.4,180,Q22,Estenose congenita da valva tricuspide,-,-,Q224,S,-,-
Q22.5,180,Q22,Anomalia de Ebstein,-,-,Q225,S,-,-
Q22.6,180,Q22,Sindrome do coracao direito hipoplasico,-,-,Q226,S,-,-
Q22.8,180,Q22,Outras malformacoes congenitas da valva tricuspide,-,-,Q228,S,-,-
Q22.9,180,Q22,Malformacao congenita nao especificada da valva tricuspide,-,-,Q229,S,-,-
Q23,180,Q23,Malformacoes congenitas das valvas aortica e mitral,-,-,Q23,S,-,-
Q23.0,180,Q23,Estenose congenita da valva aortica,-,-,Q230,S,-,-
Q23.1,180,Q23,Insuficiencia congenita da valva aortica,-,-,Q231,S,-,-
Q23.2,180,Q23,Estenose mitral congenita,-,-,Q232,S,-,-
Q23.3,180,Q23,Insuficiencia mitral congenita,-,-,Q233,S,-,-
Q23.4,180,Q23,Sindrome do coracao esquerdo hipoplasico,-,-,Q234,S,-,-
Q23.8,180,Q23,Outras malformacoes congenitas das valvas aortica e mitral,-,-,Q238,S,-,-
Q23.9,180,Q23,Malformacao congenita nao especificada das valvas aortica e mitral,-,-,Q239,S,-,-
Q24,180,Q24,Outras malformacoes congenitas do coracao,-,-,Q24,S,-,-
Q24.0,180,Q24,Dextrocardia,-,-,Q240,S,-,-
Q24.1,180,Q24,Levocardia,-,-,Q241,S,-,-
Q24.2,180,Q24,Cor triatriatum,-,-,Q242,S,-,-
Q24.3,180,Q24,Estenose do infundibulo pulmonar,-,-,Q243,S,-,-
Q24.4,180,Q24,Estenose subaortica congenita,-,-,Q244,S,-,-
Q24.5,180,Q24,Malformacoes dos vasos coronarios,-,-,Q245,S,-,-
Q24.6,180,Q24,Bloqueio congenito do coracao,-,-,Q246,S,-,-
Q24.8,180,Q24,Outras malformacoes congenitas especificadas do coracao,-,-,Q248,S,-,-
Q24.9,180,Q24,Malformacao nao especificada do coracao,-,-,Q249,S,-,-
Q25,180,Q25,Malformacoes congenitas das grandes arterias,-,-,Q25,S,-,-
Q25.0,180,Q25,Permeabilidade do canal arterial,-,-,Q250,S,-,-
